Fix1 Fix2 Rndm_FY Rndm_PE Rndm_Animal Phenotype_Circular Phenotype_Continuous
3 2 1 1 6116 4.813 4.813
5 5 2 1 6116 5.111 5.111
3 2 3 2 12803 0.128 6.411
5 5 4 2 12803 3.288 3.288
3 2 3 3 12802 2.167 2.167
5 5 4 3 12802 0.777 0.777
3 2 1 4 12801 5.036 5.036
5 5 2 4 12801 5.031 5.031
3 2 5 5 12800 5.911 -0.373
5 5 6 5 12800 2.080 2.080
6 5 7 5 12800 0.115 0.115
4 2 8 6 12799 2.850 2.850
5 4 9 6 12799 3.674 3.674
4 2 8 7 12798 0.582 0.582
1 2 10 8 12797 5.137 5.137
1 2 10 9 12796 5.728 5.728
1 2 10 10 12795 1.378 7.661
1 2 11 11 12794 3.884 3.884
1 2 12 12 2504 0.908 0.908
1 3 13 12 2504 1.445 1.445
3 5 14 12 2504 2.365 2.365
3 3 15 12 2504 5.847 -0.436
4 3 16 12 2504 2.475 2.475
5 4 17 12 2504 0.214 0.214
5 4 18 12 2504 1.178 1.178
6 3 19 12 2504 3.178 3.178
6 4 20 12 2504 0.273 0.273
6 3 21 12 2504 0.640 0.640
6 4 22 12 2504 1.622 1.622
6 4 23 12 2504 1.686 1.686
1 2 12 13 12793 2.449 2.449
1 3 24 13 12793 3.010 3.010
2 4 25 13 12793 2.301 2.301
3 4 14 13 12793 5.737 -0.546
4 4 26 13 12793 4.548 4.548
2 2 27 14 12792 1.846 1.846
3 4 28 14 12792 4.727 4.727
1 2 29 15 12791 5.809 5.809
3 2 30 16 12790 5.750 -0.533
1 2 31 17 6114 5.485 5.485
1 2 32 18 12788 2.196 2.196
2 4 33 18 12788 1.408 1.408
3 4 34 18 12788 4.365 4.365
1 2 35 19 12787 2.491 2.491
3 5 36 19 12787 4.962 4.962
4 2 37 20 6113 1.047 7.330
2 2 38 21 6112 5.341 5.341
1 2 39 22 6111 2.774 2.774
1 2 32 23 12785 3.420 3.420
2 4 33 23 12785 2.944 2.944
3 2 40 24 12784 3.739 3.739
3 4 41 24 12784 5.155 5.155
5 2 42 25 12782 1.633 1.633
4 2 43 26 12781 0.214 6.497
4 2 44 27 12780 2.523 2.523
4 2 43 28 12779 4.534 4.534
5 2 42 29 12778 4.414 4.414
4 2 44 30 12777 5.333 -0.951
4 2 44 31 12776 1.515 1.515
4 2 44 32 12775 2.729 2.729
4 2 44 33 12774 6.192 -0.091
5 3 45 33 12774 5.562 -0.721
5 2 42 34 12773 0.156 0.156
4 2 42 35 12772 2.753 2.753
5 2 42 36 12771 0.633 0.633
4 2 44 37 12770 3.364 3.364
5 2 42 38 12769 4.476 -1.808
4 2 42 39 12768 4.347 4.347
5 2 42 40 12767 1.637 1.637
4 2 44 41 12766 1.909 1.909
5 2 42 42 12765 3.529 3.529
4 2 43 43 12764 2.611 2.611
4 4 45 43 12764 5.685 -0.599
4 2 44 44 12763 4.154 4.154
5 3 45 44 12763 2.137 2.137
4 2 44 45 12762 3.932 3.932
1 1 44 46 12761 0.231 6.514
4 2 43 47 12760 3.846 3.846
4 2 43 48 12759 5.027 5.027
4 2 43 49 12758 0.894 7.177
4 2 44 50 12757 5.601 5.601
4 2 44 51 12756 5.862 5.862
4 2 44 52 12755 2.449 2.449
4 2 44 53 12754 4.066 4.066
4 2 44 54 12753 0.445 0.445
2 2 44 55 12752 1.780 1.780
4 2 44 56 12751 3.345 3.345
3 2 42 57 12750 4.448 4.448
3 2 42 58 12749 3.212 3.212
3 2 42 59 12748 2.368 2.368
3 2 42 60 12747 5.460 5.460
2 2 42 61 12746 4.706 4.706
2 2 44 62 12745 3.091 3.091
1 2 43 63 12744 4.977 4.977
2 2 44 64 12743 2.354 2.354
1 1 43 65 12742 4.586 10.869
2 2 44 66 12741 5.194 5.194
2 2 42 67 12740 2.943 -3.340
