Age_at_lambing	Lambing_interval 	Year	Flock-year 	Permanent_environmental_ID	Animal_ID	Lambing_date
3	2	2011	1	1	6116	0.0172
5	5	2013	2	1	6116	0.4473
3	2	2011	1	2	12803	0.6096
5	5	2013	2	2	12803	0.7300
3	2	2011	1	3	12802	0.9537
5	5	2013	2	3	12802	0.9193
3	2	2011	1	4	12801	0.3097
5	5	2013	2	4	12801	0.5333
3	2	2010	3	5	12800	6.2585
5	5	2012	4	5	12800	5.4424
6	5	2015	5	5	12800	0.4817
4	2	2012	6	6	12799	2.0009
5	4	2013	7	6	12799	1.1504
4	2	2012	6	7	12798	1.9837
1	2	1998	8	8	12797	4.9188
1	2	1998	8	9	12796	4.9188
1	2	1998	8	10	12795	5.0909
1	2	1998	8	11	12794	0.2580
1	2	2004	9	12	2504	1.6052
1	3	2004	9	12	2504	5.6489
3	5	2006	10	12	2504	1.8632
3	3	2006	10	12	2504	5.9144
4	3	2007	11	12	2504	3.6577
5	4	2008	12	12	2504	1.5633
5	4	2008	12	12	2504	5.6661
6	3	2009	13	12	2504	3.5029
6	4	2010	14	12	2504	1.4429
6	3	2010	14	12	2504	5.2285
6	4	2011	15	12	2504	3.8028
6	4	2012	16	12	2504	2.2836
1	2	2004	9	13	12793	2.0525
1	3	2004	9	13	12793	6.0348
2	4	2005	17	13	12793	4.0437
3	4	2006	10	13	12793	1.9665
4	4	2007	11	13	12793	1.1848
2	2	2001	18	14	12792	2.5245
3	4	2002	19	14	12792	0.7128
1	2	1998	20	15	12791	0.5752
3	2	2001	21	16	12790	5.0564
1	2	2002	22	17	6114	0.9021
1	2	2003	23	18	12788	2.3180
2	4	2004	24	18	12788	1.0644
3	4	2004	24	18	12788	5.4080
1	2	2003	23	19	12787	5.1081
3	5	2005	25	19	12787	0.3613
4	2	2001	26	20	6113	2.7384
2	2	2002	22	21	6112	0.0172
1	2	2000	27	22	6111	4.2060
1	2	2003	23	23	12785	1.8460
2	4	2004	24	23	12785	1.1848
3	2	2001	21	24	12784	0.1032
3	4	2001	21	24	12784	4.6361
5	2	1992	28	25	12782	2.4385
4	2	1992	28	26	12781	0.4473
4	2	1992	28	27	12780	0.5924
4	2	1992	28	28	12779	0.4817
5	2	1992	28	29	12778	2.4901
4	2	1992	28	30	12777	1.2536
4	2	1992	28	31	12776	0.6268
4	2	1992	28	32	12775	0.6268
4	2	1992	28	33	12774	0.7816
5	3	1992	28	33	12774	4.6533
5	2	1992	28	34	12773	2.2492
4	2	1992	28	35	12772	1.7772
5	2	1992	28	36	12771	2.4557
4	2	1992	28	37	12770	0.8505
5	2	1992	28	38	12769	2.1632
4	2	1992	28	39	12768	1.8976
5	2	1992	28	40	12767	2.2664
4	2	1992	28	41	12766	0.6612
5	2	1992	28	42	12765	2.4040
4	2	1992	28	43	12764	0.3785
4	4	1992	28	43	12764	4.5673
4	2	1992	28	44	12763	0.6784
5	3	1992	28	44	12763	4.4124
4	2	1992	28	45	12762	0.6612
1	1	1992	28	46	12761	1.2708
4	2	1992	28	47	12760	0.4645
4	2	1992	28	48	12759	0.4129
4	2	1992	28	49	12758	0.4989
4	2	1992	28	50	12757	1.5805
4	2	1992	28	51	12756	0.7988
4	2	1992	28	52	12755	0.5408
4	2	1992	28	53	12754	0.9193
4	2	1992	28	54	12753	0.8849
2	2	1992	28	55	12752	1.5289
4	2	1992	28	56	12751	0.9021
3	2	1992	28	57	12750	1.6052
3	2	1992	28	58	12749	2.4729
3	2	1992	28	59	12748	2.3352
3	2	1992	28	60	12747	2.5589
2	2	1992	28	61	12746	2.2492
2	2	1992	28	62	12745	0.6268
1	2	1992	28	63	12744	0.4645
2	2	1992	28	64	12743	0.6268
1	1	1992	28	65	12742	0.4301
2	2	1992	28	66	12741	1.1676
2	2	1992	28	67	12740	1.7256
1	1	1992	28	68	12739	0.5408
1	1	1992	28	69	12738	0.4645
1	1	1992	28	70	12737	0.5408
2	2	1992	28	71	12736	2.5417
1	2	1992	28	72	12735	0.8332
1	1	1992	28	73	12734	0.3957
1	1	1992	28	74	12733	0.4645
1	2	1992	28	75	12732	0.8505
1	1	1992	28	76	12731	0.5408
1	1	1992	28	77	12730	0.3613
1	1	1992	28	78	12729	0.4301
1	1	1992	28	79	12728	0.6268
1	1	1992	28	80	12727	0.5408
1	1	1992	28	81	12726	0.6440
1	1	1992	28	82	12725	1.4945
1	1	1992	28	83	12724	0.9193
1	1	1992	28	84	12723	1.4773
1	1	1992	28	85	12722	1.6052
4	2	1992	28	86	12721	0.6440
4	2	1992	28	87	12720	0.9021
4	2	1992	28	88	12718	0.4301
1	1	1991	29	89	12716	0.4645
1	5	1992	30	89	12716	0.0688
1	2	1991	29	90	12715	0.2752
1	2	1991	29	91	12714	0.4989
2	4	1991	29	91	12714	6.1208
1	2	1991	29	92	12713	0.2924
1	2	1991	29	93	12712	0.4129
2	5	1991	29	93	12712	6.2241
3	2	1993	31	94	12711	1.0053
3	3	1993	31	94	12711	4.9532
5	5	1995	32	94	12711	4.8500
1	2	1989	33	95	3690	5.9660
1	1	1991	34	96	12710	2.7728
2	2	1989	33	97	12709	4.8328
3	5	1991	34	97	12709	0.4989
4	3	1991	34	97	12709	4.6017
2	2	1987	35	98	6108	4.7812
3	4	1988	36	98	6108	2.7556
4	5	1990	37	98	6108	0.8677
5	5	1991	34	98	6108	0.5580
6	4	1991	34	98	6108	4.9016
6	3	1992	38	98	6108	2.4212
2	2	1989	33	99	6107	2.5245
2	4	1990	37	99	6107	0.4989
3	3	1990	37	99	6107	4.4296
4	4	1991	34	99	6107	2.5933
1	2	1989	33	100	12708	0.7472
2	2	1993	31	101	12707	0.8332
2	3	1993	31	101	12707	4.7984
1	1	1989	33	102	12706	5.1253
1	1	1993	31	103	6106	4.7812
2	5	1995	32	103	6106	0.4989
3	4	1995	32	103	6106	4.8328
1	2	1993	31	104	6105	5.1081
2	5	1995	32	104	6105	0.6612
3	4	1995	32	104	6105	4.9704
1	1	1993	31	105	12705	4.8328
2	5	1995	32	105	12705	0.4473
3	4	1995	32	105	12705	4.8328
3	2	1986	39	106	6104	4.6533
5	5	1988	36	106	6104	0.3957
5	3	1988	36	106	6104	4.4812
6	4	1989	33	106	6104	2.8072
6	3	1990	37	106	6104	0.4989
6	3	1990	37	106	6104	4.4812
1	1	1993	31	107	12704	4.8156
2	5	1995	32	107	12704	0.3097
3	4	1995	32	107	12704	4.8500
1	2	1992	38	108	6103	4.9876
2	3	1993	31	108	6103	2.3868
3	4	1994	40	108	6103	0.7988
3	3	1994	40	108	6103	4.7812
1	1	1993	31	109	6102	4.8328
2	5	1995	32	109	6102	0.4989
1	2	1994	40	110	12703	1.1160
